Support Library class,Android X class
android.arch.paging.RxPagedListBuilder,androidx.paging.RxPagedListBuilder
android.arch.paging.SnapshotPagedList,androidx.paging.SnapshotPagedList
android.arch.paging.TiledDataSource,androidx.paging.TiledDataSource
android.arch.paging.TiledPagedList,androidx.paging.TiledPagedList
android.arch.paging.WrapperItemKeyedDataSource,androidx.paging.WrapperItemKeyedDataSource
android.arch.paging.WrapperPageKeyedDataSource,androidx.paging.WrapperPageKeyedDataSource
android.arch.paging.WrapperPositionalDataSource,androidx.paging.WrapperPositionalDataSource
android.arch.persistence.db.framework.FrameworkSQLiteDatabase,androidx.sqlite.db.framework.FrameworkSQLiteDatabase
android.arch.persistence.db.framework.FrameworkSQLiteOpenHelper,androidx.sqlite.db.framework.FrameworkSQLiteOpenHelper
android.arch.persistence.db.framework.FrameworkSQLiteOpenHelperFactory,androidx.sqlite.db.framework.FrameworkSQLiteOpenHelperFactory
android.arch.persistence.db.framework.FrameworkSQLiteProgram,androidx.sqlite.db.framework.FrameworkSQLiteProgram
android.arch.persistence.db.framework.FrameworkSQLiteStatement,androidx.sqlite.db.framework.FrameworkSQLiteStatement
android.arch.persistence.db.SimpleSQLiteQuery,androidx.sqlite.db.SimpleSQLiteQuery
android.arch.persistence.db.SupportSQLiteDatabase,androidx.sqlite.db.SupportSQLiteDatabase
android.arch.persistence.db.SupportSQLiteOpenHelper,androidx.sqlite.db.SupportSQLiteOpenHelper
android.arch.persistence.db.SupportSQLiteProgram,androidx.sqlite.db.SupportSQLiteProgram
android.arch.persistence.db.SupportSQLiteQuery,androidx.sqlite.db.SupportSQLiteQuery
android.arch.persistence.db.SupportSQLiteQueryBuilder,androidx.sqlite.db.SupportSQLiteQueryBuilder
android.arch.persistence.db.SupportSQLiteStatement,androidx.sqlite.db.SupportSQLiteStatement
android.arch.persistence.room.ColumnInfo,androidx.room.ColumnInfo
android.arch.persistence.room.Dao,androidx.room.Dao
android.arch.persistence.room.Database,androidx.room.Database
android.arch.persistence.room.DatabaseConfiguration,androidx.room.DatabaseConfiguration
android.arch.persistence.room.Delete,androidx.room.Delete
android.arch.persistence.room.Embedded,androidx.room.Embedded
android.arch.persistence.room.EmptyResultSetException,androidx.room.EmptyResultSetException
android.arch.persistence.room.Entity,androidx.room.Entity
android.arch.persistence.room.EntityDeletionOrUpdateAdapter,androidx.room.EntityDeletionOrUpdateAdapter
